ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
14	Pparg	NA	chrNC_000072.6	+	115383678	115383743	115418212	115418317	115360897	115361370	115439839	115440067	14	17,15	1,1	0,2	0	214	254	1	1.0	0.953,0.947	NA,1.0	-0.05
20	Fbxw11	NA	chrNC_000077.6	+	32652747	32652904	32708187	32708250	32642554	32642935	32711771	32711997	20	1	0	2	1	298	212	1	1.0	1.0,NA	0.587,NA	0.413
25	App	NA	chrNC_000082.6	-	84971407	84971461	84978063	84978285	84965669	84965770	85013626	85013726	25	375,264	5,8	9,14	0	298	203	0.0582931417109	0.2692083271739745	0.981,0.957	1.0,1.0	-0.031
27	Ecsit	NA	chrNC_000075.6	-	22078147	22078265	22084022	22084208	22076227	22076645	22085356	22086296	27	0,2	5,3	2,1	0,2	298	267	0.0148572761723	0.08776158483172558	0.0,0.374	1.0,0.309	-0.467
28	Tyk2	NA	chrNC_000075.6	-	21123976	21124140	21124410	21124558	21121391	21121758	21124863	21124981	28	2,2	21,12	0	2	297	298	1	1.0	0.087,0.143	0.0,NA	0.115
29	4931406C07Rik	NA	chrNC_000075.6	-	15294685	15294759	15297842	15297941	15294431	15294533	15301366	15301513	29	4,2	2	0,2	0,1	248	223	1	1.0	0.643,1.0	NA,0.643	0.178
38	Mthfsd	NA	chrNC_000074.6	-	121105573	121105687	121105717	121105831	121104391	121104505	121106869	121106973	38	0	4,2	2	0,1	263	263	0.112233943507	0.4673347811602951	0.0,0.0	1.0,0.0	-0.5
40	Ap1g1	NA	chrNC_000074.6	+	109818917	109819042	109826593	109826735	109802946	109803150	109828237	109828334	40	5,4	8,6	3	5,3	274	291	0.178039541249	0.6220168625987671	0.399,0.415	0.389,0.0	0.213
48	Dda1	NA	chrNC_000074.6	+	71472036	71472117	71472194	71472246	71469193	71469325	71473774	71473836	48	5,1	9,4	0,3	0	230	201	1	1.0	0.327,0.179	NA,1.0	-0.747
49	Dda1	NA	chrNC_000074.6	+	71472194	71472246	71473774	71473836	71472036	71472117	71474487	71476097	49	12,1	6,9	0,1	4,1	201	211	0.00746168315334	0.05122344651211784	0.677,0.104	0.0,0.512	0.135
