ID	GeneID	EntrezID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	CNAG_05529	23888833	NA	chr14	+	567497	568495	567497	567721	567782	568495	0	0,7	1,4	0	0,1	210	149	1	1.0	0.0,0.554	NA,0.0	0.277
1	CNAG_07011	23890132	NA	chr12	+	763239	763419	763239	763280	763334	763419	1	59,8	9,3	0,1	0	203	149	1	1.0	0.828,0.951	NA,1.0	-0.111
4	CNAG_05510	23888814	NA	chr14	-	508204	508525	508204	508252	508291	508525	4	2,5	34,48	0	0,5	188	149	1	1.0	0.045,0.076	NA,0.0	0.06
5	CNAG_01675	23885369	NA	chr11	+	576783	577315	576783	577136	577231	577315	5	19,24	14,3	1	0	244	149	1	1.0	0.453,0.83	1.0,NA	-0.359
10	CNAG_04468	23887885	NA	chr9	+	941330	941968	941330	941828	941888	941968	10	5,7	4,1	0,1	0	209	149	1	1.0	0.471,0.833	NA,1.0	-0.348
11	CNAG_03543	23887033	NA	chr8	+	1238016	1239743	1238016	1239090	1239147	1239743	11	90,104	4,6	0,2	0	206	149	1	1.0	0.942,0.926	NA,1.0	-0.066
13	CNAG_03247	23886765	NA	chr8	+	438831	439522	438831	439388	439412	439522	13	34,38	6,11	0,1	0	173	149	1	1.0	0.83,0.748	NA,1.0	-0.211
17	CNAG_05308	23888634	NA	chr4	-	1007198	1009283	1007198	1008447	1008504	1009283	17	28,25	9,6	0,1	0	206	149	1	1.0	0.692,0.751	NA,1.0	-0.278
18	CNAG_03793	23887258	NA	chr2	+	830099	831091	830099	830128	830166	831091	18	13,32	28,21	2	0	187	149	1	1.0	0.27,0.548	1.0,NA	-0.591
20	CNAG_02388	23886014	NA	chr6	+	459517	460178	459517	459848	459915	460178	20	1	0,7	0,1	0	216	149	1	1.0	1.0,0.0	NA,1.0	-0.5
