ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	CNAG_05653	NA	chr14	+	885880	885994	885467	885818	886066	886508	1	843,996	1	10,4	0	263	149	1	1.0	0.998,1.0	1.0,1.0	-0.001
2	CNAG_05632	NA	chr14	-	831874	831989	831598	831807	832061	832365	2	89,68	1,2	3,3	0	264	149	0.438015387463	1.0	0.98,0.95	1.0,1.0	-0.035
3	CNAG_05578	NA	chr14	-	683278	683289	683190	683223	683338	683442	3	47,76	0,1	2,1	0	160	149	1	1.0	1.0,0.986	1.0,1.0	-0.007
5	CNAG_05424	NA	chr14	+	276425	276444	275961	276338	276584	276630	5	1158,1469	2,12	9,44	0	168	149	1	1.0	0.998,0.991	1.0,1.0	-0.006
6	CNAG_05424	NA	chr14	+	276584	276630	275961	276338	276786	276887	6	133,204	0,1	2,2	0	195	149	1	1.0	1.0,0.994	1.0,1.0	-0.003
7	CNAG_05387	NA	chr14	-	174064	174232	173878	174013	174290	174375	7	1963,2325	1	8,19	0	298	149	1	1.0	0.999,1.0	1.0,1.0	-0.0
10	CNAG_05533	NA	chr14	-	577879	577929	577674	577797	577979	578281	10	80,84	2,1	2,2	0	199	149	0.445691735118	1.0	0.968,0.984	1.0,1.0	-0.024
13	CNAG_06432	NA	chr13	+	466103	466203	465959	466047	466252	466339	13	643,876	1	0,7	0	249	149	1	1.0	0.997,1.0	NA,1.0	-0.002
15	CNAG_05518	NA	chr14	+	532647	532766	532463	532578	532852	533066	15	37,53	0,2	0,1	0	268	149	1	1.0	1.0,0.936	NA,1.0	-0.032
17	CNAG_06240	NA	chr12	+	708790	708804	708438	708688	708880	708899	17	56,43	0,2	0,6	0	163	149	1	1.0	1.0,0.952	NA,1.0	-0.024
