ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
35	Elovl5	NA	chrNC_000075.6	+	77960865	77961053	77957140	77957206	77975784	77975862	35	22,25	1	3,2	0	298	149	1	1.0	0.917,1.0	1.0,1.0	-0.041
74	Rfx7	NA	chrNC_000075.6	+	72611620	72611828	72610303	72610388	72615036	72615332	74	4,3	1	0,1	0,2	298	149	1	1.0	0.667,1.0	NA,0.2	0.633
79	Hexb	NA	chrNC_000079.6	-	97194121	97194267	97191212	97191278	97198025	97198357	79	13,5	0	1,4	2	295	149	0.174738346631	1.0	1.0,1.0	0.202,1.0	0.399
87	Sltm	NA	chrNC_000075.6	+	70583931	70584112	70581300	70581464	70584752	70584877	87	22,23	4,6	1,2	0	298	149	0.000111285286752	0.00688046556260498	0.733,0.657	1.0,1.0	-0.305
89	Rnf111	NA	chrNC_000075.6	-	70502939	70503002	70475775	70476668	70503458	70503775	89	32,21	5,11	4,2	0	212	149	0.000122852846514	0.007241091306295765	0.818,0.573	1.0,1.0	-0.304
114	Ciao2a	NA	chrNC_000075.6	+	66133431	66133481	66132526	66132691	66136301	66136347	114	9,11	3	6,4	0	199	149	0.126319986999	1.0	0.692,1.0	1.0,1.0	-0.154
115	Ciao2a	NA	chrNC_000075.6	+	66133652	66133722	66133431	66133481	66136301	66136347	115	2,1	7,6	1	3,2	219	149	0.1276782325	1.0	0.163,0.102	0.185,0.0	0.04
121	Aagab	NA	chrNC_000075.6	+	63616987	63617084	63616685	63616876	63617507	63617597	121	13,13	1	4	0	246	149	1	1.0	0.887,1.0	1.0,NA	-0.056
122	Aagab	NA	chrNC_000075.6	+	63635304	63635387	63619147	63619231	63636383	63636483	122	3,3	1	1	0	232	149	1	1.0	0.658,1.0	1.0,NA	-0.171
138	Hexa	NA	chrNC_000075.6	+	59547859	59547948	59539683	59539976	59554132	59554225	138	1	19,13	0	2,8	238	149	1	1.0	0.032,0.0	0.0,0.0	0.016
