ID	GeneID	EntrezID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	CNAG_06109	23889347	NA	chr12	+	332615	332906	332669	332906	332400	332554	5	1519,1808	477,628	9,58	4,11	203	149	0.259435566802	0.9296441143738332	0.7,0.679	0.623,0.795	-0.02
8	CNAG_01573	23885272	NA	chr11	-	323703	323814	323703	323811	323852	324202	8	2,3	6,9	0	1	152	149	1	1.0	0.246,0.246	0.0,NA	0.246
10	CNAG_04786	23888165	NA	chr10	+	404961	407558	404967	407558	404698	404916	10	30,2	15,26	0	0,3	155	149	1	1.0	0.658,0.425	NA,0.0	0.541
14	CNAG_04848	23888225	NA	chr10	+	245718	245797	245727	245797	245617	245671	14	8,12	81,92	0	0,2	158	149	1	1.0	0.085,0.11	NA,0.0	0.098
19	CNAG_03461	23886966	NA	chr8	-	1007684	1007717	1007684	1007714	1007785	1007802	19	0,3	6,8	0,4	0	152	149	1	1.0	0.0,0.269	NA,1.0	-0.865
20	CNAG_07755	23890574	NA	chr9	+	18905	20364	18918	20364	18203	18851	20	64,44	7,16	1,3	0	162	149	0.000548216471819	0.003055201070094875	0.894,0.717	1.0,1.0	-0.195
29	CNAG_06310	23889521	NA	chr13	+	153818	154358	153821	154358	153693	153750	29	10,15	11,15	0	0,2	152	149	1	1.0	0.471,0.495	NA,0.0	0.483
30	CNAG_01004	23884750	NA	chr5	+	1454657	1456538	1454660	1456538	1453364	1454605	30	44,62	10,15	1	0	152	149	1	1.0	0.812,0.802	1.0,NA	-0.193
31	CNAG_04224	23887662	NA	chr9	+	336594	336756	336606	336756	336443	336548	31	7,1	21,17	0	0,1	161	149	1	1.0	0.236,0.352	NA,0.0	0.294
32	CNAG_03016	23886557	NA	chr3	+	202556	203349	202654	203349	202358	202462	32	42,49	6,4	0	0,1	247	149	1	1.0	0.809,0.881	NA,0.0	0.845
