ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
20	Fam214a	NA	chrNC_000075.6	+	75018996	75023746	75018996	75019155	75023584	75023746	20	7,2	0,2	2	0	298	149	1	1.0	1.0,0.333	1.0,NA	-0.334
22	Rnf111	NA	chrNC_000075.6	-	70502939	70503378	70502939	70503002	70503231	70503378	22	22,1	2,3	2,2	0	298	149	0.000581934228752	0.01016146691743877	0.846,0.625	1.0,1.0	-0.264
73	Mmgt2	NA	chrNC_000077.6	+	62664669	62666356	62664669	62665236	62665743	62666356	73	4,2	1	0	0,1	298	149	1	1.0	0.667,1.0	NA,0.0	0.834
74	Mthfsd	NA	chrNC_000074.6	-	121096604	121099152	121096604	121097925	121098707	121099152	74	2,3	0,1	0	2	298	149	1	1.0	1.0,0.6	0.0,NA	0.8
75	Mthfsd	NA	chrNC_000074.6	-	121098707	121099152	121098707	121098771	121098998	121099152	75	0	0,1	1	0	298	149	1	1.0	NA,0.0	1.0,NA	-1.0
81	Tmed1	NA	chrNC_000075.6	-	21508930	21509351	21508930	21509114	21509253	21509351	81	6,1	1,2	2	0	288	149	1	1.0	0.756,0.206	1.0,NA	-0.519
84	Znrf1	NA	chrNC_000074.6	+	111621595	111625720	111621595	111621687	111622474	111625720	84	7,6	1,3	0,1	2	298	149	0.0158375901883	0.14098560677427843	0.778,0.5	0.0,1.0	0.139
85	Znrf1	NA	chrNC_000074.6	+	111621595	111625720	111621595	111621687	111622798	111625720	85	30,5	4,2	0,1	2	298	149	0.0135803126646	0.1258257540760898	0.789,0.556	0.0,1.0	0.173
90	Nip7	NA	chrNC_000074.6	+	107057092	107057411	107057092	107057179	107057272	107057411	90	1,4	15,15	0,5	0,2	242	149	1	1.0	0.039,0.141	NA,0.606	-0.516
92	Cryab	NA	chrNC_000075.6	+	50752970	50753477	50752970	50753095	50753185	50753477	92	3	0	0	2	239	149	1	1.0	1.0,NA	0.0,NA	1.0
