ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
30	Galnt6	NA	chrNC_000081.6	-	100729302	100729376	100729306	100729376	100720014	100720235	30	5,2	2,5	1	2	153	149	1	1.0	0.709,0.28	0.327,NA	0.167
38	Ndst1	NA	chrNC_000084.6	-	60703732	60703891	60703736	60703891	60702772	60702958	38	2	3	0	0,1	153	149	1	1.0	0.394,NA	NA,0.0	0.394
44	Zmynd8	NA	chrNC_000068.7	-	165807518	165807929	165807674	165807929	165805186	165805377	44	7,4	19,11	0	0,14	298	149	1	1.0	0.156,0.154	NA,0.0	0.155
45	Zmynd8	NA	chrNC_000068.7	-	165845599	165846239	165846020	165846239	165842763	165842877	45	8,2	2,3	0	0,3	298	149	1	1.0	0.667,0.25	NA,0.0	0.459
50	Phf8	NA	chrNC_000086.7	+	151520640	151521319	151520640	151521088	151522387	151522576	50	4,4	0	0,1	0,2	298	149	1	1.0	1.0,1.0	NA,0.2	0.8
61	Ddx6	NA	chrNC_000075.6	+	44604891	44604984	44604891	44604952	44607122	44607592	61	0,2	2,1	1,1	0	181	149	0.000592894035105	0.013667767756631054	0.0,0.622	1.0,1.0	-0.689
62	Ddx6	NA	chrNC_000075.6	+	44604891	44605148	44604891	44604952	44607122	44607592	62	6,6	2,1	3	0	298	149	1	1.0	0.6,0.75	1.0,NA	-0.325
63	Ddx6	NA	chrNC_000075.6	+	44604891	44605236	44604891	44604952	44607122	44607592	63	6,4	2,1	3	0	298	149	1	1.0	0.6,0.667	1.0,NA	-0.367
64	Ddx6	NA	chrNC_000075.6	+	44604891	44605148	44604891	44604984	44607122	44607592	64	8,7	0,1	2	0,1	298	149	1	1.0	1.0,0.778	1.0,0.0	0.389
65	Ddx6	NA	chrNC_000075.6	+	44604891	44605236	44604891	44604984	44607122	44607592	65	8,5	0,1	2	0,1	298	149	1	1.0	1.0,0.714	1.0,0.0	0.357
